point_group_number,hm_symbol,schoenflies,group_order,a1_multiplicity_by_l,a1_node_width,a1_edge_width,pg_block_1_parameters,pg_block_2_parameters,dielectric_head_parameters,elastic_head_parameters,expert_total_parameters,active_expert_count,active_experts,active_parameters_dielectric,under_5m_dielectric,active_parameters_elastic,under_5m_elastic
11,4/m,C4h,8,"[1, 0, 1, 0, 3]",16,10,23856,23856,34,119,47865,3,"['4/m', '4/mmm', 'm-3m']",86127,True,86409,True
12,422,D4,8,"[1, 0, 1, 0, 2]",14,8,14742,14742,30,90,29604,4,"['422', '4/mmm', '432', 'm-3m']",75768,True,76047,True
13,4mm,C4v,8,"[1, 1, 1, 1, 2]",18,12,36018,36018,38,114,72188,3,"['4mm', '4/mmm', 'm-3m']",110455,True,110728,True
14,-42m,D2d,8,"[1, 0, 1, 1, 2]",16,10,23856,23856,34,102,47848,4,"['-42m', '4/mmm', '-43m', 'm-3m']",102630,True,102921,True
15,4/mmm,D4h,16,"[1, 0, 1, 0, 2]",14,8,14742,14742,30,90,29604,2,"['4/mmm', 'm-3m']",38380,True,38577,True
16,3,C3,3,"[1, 1, 1, 3, 3]",24,18,95112,95112,50,175,190449,17,"['3', '-3', '32', '3m', '-3m', '6', '-6', '6/m', '622', '6mm', '-6m2', '6/mmm', '23', 'm-3', '432', '-43m', 'm-3m']",698579,True,699549,True
17,-3,C3i,6,"[1, 0, 1, 0, 3]",16,10,23856,23856,34,119,47865,6,"['-3', '-3m', '6/m', '6/mmm', 'm-3', 'm-3m']",127031,True,127413,True
18,32,D3,6,"[1, 0, 1, 1, 2]",16,10,23856,23856,34,102,47848,7,"['32', '-3m', '622', '-6m2', '6/mmm', '432', 'm-3m']",156547,True,156957,True
19,3m,C3v,6,"[1, 1, 1, 2, 2]",20,14,51660,51660,42,126,103488,7,"['3m', '-3m', '6mm', '-6m2', '6/mmm', '-43m', 'm-3m']",252025,True,252467,True
20,-3m,D3d,12,"[1, 0, 1, 0, 2]",14,8,14742,14742,30,90,29604,3,"['-3m', '6/mmm', 'm-3m']",54895,True,55131,True
21,6,C6,6,"[1, 1, 1, 1, 1]",16,10,23856,23856,34,85,47831,5,"['6', '6/m', '622', '6mm', '6/mmm']",146034,True,146368,True
22,-6,C3h,6,"[1, 0, 1, 2, 1]",16,10,23856,23856,34,85,47831,4,"['-6', '6/m', '-6m2', '6/mmm']",111286,True,111575,True
23,6/m,C6h,12,"[1, 0, 1, 0, 1]",12,6,8244,8244,26,65,16579,2,"['6/m', '6/mmm']",34023,True,34216,True
24,622,D6,12,"[1, 0, 1, 0, 1]",12,6,8244,8244,26,65,16579,2,"['622', '6/mmm']",34023,True,34216,True
25,6mm,C6v,12,"[1, 1, 1, 1, 1]",16,10,23856,23856,34,85,47831,2,"['6mm', '6/mmm']",65255,True,65460,True
26,-6m2,D3h,12,"[1, 0, 1, 1, 1]",14,8,14742,14742,30,75,29589,2,"['-6m2', '6/mmm']",47023,True,47222,True
27,6/mmm,D6h,24,"[1, 0, 1, 0, 1]",12,6,8244,8244,26,65,16579,1,['6/mmm'],17508,True,17662,True
28,23,T,12,"[1, 0, 0, 1, 1]",12,6,8244,8244,13,39,16540,5,"['23', 'm-3', '432', '-43m', 'm-3m']",57615,True,57848,True
29,m-3,Th,24,"[1, 0, 0, 0, 1]",10,4,3930,3930,11,33,7904,2,"['m-3', 'm-3m']",16737,True,16896,True
30,432,O,24,"[1, 0, 0, 0, 1]",10,4,3930,3930,11,33,7904,2,"['432', 'm-3m']",16737,True,16896,True
31,-43m,Td,24,"[1, 0, 0, 1, 1]",12,6,8244,8244,13,39,16540,2,"['-43m', 'm-3m']",25367,True,25530,True
32,m-3m,Oh,48,"[1, 0, 0, 0, 1]",10,4,3930,3930,11,33,7904,1,['m-3m'],8865,True,9002,True
